Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
93598461377079,-0.045406863,0.018109482,-0.01691106,9.762956,-0.095169514,0.04070143,1666189741047
93598481308329,0.027830012,0.017576851,-0.013582111,9.788693,-0.08140286,0.22385786,1666189741067
93598501239631,0.073636346,0.011185268,-0.011451584,9.79827,-0.16879122,0.10175357,1666189741087
93598521171402,0.037417386,0.008122635,-0.010652636,9.809643,-0.46387658,-0.6452374,1666189741107
93598541103173,-0.04061318,0.005326318,-0.0117179,9.80665,-0.44532153,-0.581791,1666189741127
93598561034944,-0.044341598,-0.0010652636,-0.012783164,9.806051,-0.16759412,0.3405752,1666189741147
93598580966715,0.029028434,-0.008522109,-0.011451584,9.789292,-0.13347675,0.19572599,1666189741167
93598600898329,0.06431529,-0.011318427,-0.010120004,9.790489,-0.30945057,-0.49679685,1666189741189
93598620829579,0.021971062,-0.005592634,-0.00972053,9.785701,-0.3824737,-0.80684596,1666189741210
93598640760829,-0.033422645,0.0017310535,-0.008388951,9.762956,-0.26156655,-0.5231331,1666189741227
93598660692079,-0.04420844,0.00585895,-0.005060002,9.768343,-0.033518825,-0.0676362,1666189741246
93598680623329,-0.013182637,0.005992108,1.3315796E-4,9.736021,0.008379706,-0.038905777,1666189741266
93598700554787,0.011584742,0.0047936863,0.0074568456,9.744401,-0.05746084,-0.22625206,1666189741286
93598720486558,0.009454215,0.0017310535,0.013448954,9.774927,-0.16101007,-0.17118542,1666189741306
93598740418329,0.0039947387,-0.003195791,0.016511586,9.784504,-0.24061728,-0.12030864,1666189741326
93598760350100,-0.024367906,-0.0073236874,0.021172116,9.793482,-0.24241292,-0.4938041,1666189741346
93598780281871,-0.07163898,-0.0074568456,0.023835273,9.73662,-0.089184016,-0.4417302,1666189741366
93598800213381,-0.08881636,-0.005592634,0.03249054,9.729437,0.008379706,-0.30585927,1666189741386
93598820144631,-0.051532127,-0.0047936863,0.04061318,9.713875,0.11552023,0.091578215,1666189741406
93598840075881,0.023835273,-0.0023968432,0.046472125,9.780912,-0.04129998,0.079008654,1666189741426
