Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
92755675501538,-0.01944106,0.0070573715,0.0077231615,9.912594,0.61650693,-0.015562311,1666189734206
92755695403726,-0.078030564,-0.002663159,0.013715269,9.920973,0.5674258,0.6290765,1666189734226
92755715306330,-0.063383184,-0.013182637,0.016112113,9.946113,0.66498953,1.0600328,1666189734247
92755735208934,0.016112113,-0.019840535,0.014381059,9.904813,0.6183026,0.7721301,1666189734266
92755755111538,0.07736477,-0.017576851,0.013182637,9.9233675,0.51595044,0.41299978,1666189734286
92755775014143,0.054461602,-0.0126500055,0.011451584,9.898229,0.14604631,-0.58119243,1666189734305
92755794916747,-0.030226856,-0.005060002,0.011451584,9.853337,0.2908955,-0.32202014,1666189734325
92755814818934,-0.053529497,0.0018642114,0.012516848,9.883863,0.6985083,0.5327099,1666189734345
92755834721018,0.017976323,0.0073236874,0.01238369,9.913791,0.6697779,0.6769605,1666189734365
92755854607632,0.070706874,0.006924214,0.01105211,9.901221,0.4950012,0.42437226,1666189734385
92755874526174,0.03888212,0.0039947387,0.010386321,9.93474,0.17417817,-0.06703765,1666189734405
92755894428257,-0.027031064,2.663159E-4,0.008522109,9.9712515,0.2172738,0.15203181,1666189734425
92755914330340,-0.05139897,-0.0023968432,0.0043942127,9.922171,0.3298013,0.45609543,1666189734444
92755934232424,-0.024234748,-0.0046605286,-2.663159E-4,9.952697,0.29927522,0.545878,1666189734465
92755954134507,0.008388951,-0.0041278964,-0.0071905297,9.919178,0.18076223,0.2813187,1666189734485
92755974037007,0.011984216,-0.003195791,-0.011984216,9.920375,0.17477672,0.15143326,1666189734504
92755993939611,0.0067910557,0.0010652636,-0.01571264,9.932944,0.3250129,-0.01436521,1666189734525
92756013842215,-0.020639483,0.009321057,-0.022503695,9.901819,0.088585466,-0.33877954,1666189734544
92756033744820,-0.07749793,0.014114743,-0.02609896,9.954493,0.01316811,-0.1945289,1666189734564
92756053647424,-0.11118689,0.013715269,-0.034887385,9.938332,0.15682021,0.4914099,1666189734585
92756073549820,-0.08082688,0.0087884255,-0.040480018,9.992201,0.38845924,1.0546459,1666189734603
92756093451903,0.0054594763,0.0019973693,-0.046338968,9.889849,0.5398925,0.86969376,1666189734624
92756113353986,0.057657395,-3.9947388E-4,-0.0494016,10.073604,0.4201824,0.19991584,1666189734643
92756133256070,-0.019840535,0.0010652636,-0.051132657,9.805453,0.15263036,-0.2681506,1666189734663
92756153158153,-0.119709,0.005992108,-0.04953476,10.016143,0.16938977,-0.62847793,1666189734684
92756173060705,-0.12743217,0.0045273704,-0.05086634,9.866506,0.8643068,0.6721721,1666189734703
92756192963309,-0.11331742,-0.0015978955,-0.03701791,9.822811,1.311424,0.82360536,1666189734724
92756212865913,-0.076565824,-0.010120004,-0.026631592,9.909002,1.3575124,0.89662856,1666189734743
92756232768518,7.9894776E-4,-0.017843166,-0.013582111,9.789292,1.578976,0.7433996,1666189734765
92756252671122,0.034221593,-0.017310534,0.0105194785,9.543886,1.5741876,-0.092775315,1666189734784
92756272573465,-0.005326318,-0.015180007,0.032756858,10.138845,1.3640964,-0.35793316,1666189734804
92756292475549,-0.009454215,-0.00585895,0.04567318,9.746795,1.2072762,0.14185645,1666189734823
92756312377632,0.054461602,0.0035952649,0.06604634,9.269751,0.91817635,0.66738373,1666189734842
92756332279715,0.08269109,0.0126500055,0.06977477,9.727043,0.4441244,-0.044891283,1666189734863
92756352181799,0.037950017,0.01304948,0.06471477,9.779716,-0.29149407,-0.12749124,1666189734883
92756372084403,-0.014647375,0.01105211,0.054062128,9.907805,-0.39504328,0.57640404,1666189734903
92756391987007,-0.038748965,6.6578976E-4,0.03328949,10.158598,-0.47465047,0.6476316,1666189734923
92756411889611,-0.037417386,-0.0075900033,0.01238369,9.97604,-0.27832595,0.55844754,1666189734942
92756431792215,-0.04567318,-0.017843166,-0.0014647375,9.933543,0.09995792,0.39384618,1666189734962
92756451694820,-0.031292118,-0.019307904,-0.009853689,9.918579,0.56682724,0.3238158,1666189734982
92756471597163,0.022503695,-0.010652636,-0.009054741,9.8437605,0.6913257,0.07182605,1666189735002
92756491499247,0.063649505,0.0039947387,-0.0087884255,9.874287,0.44232875,-0.2220622,1666189735022
92756511401330,0.050200548,0.016112113,-0.010386321,9.890448,0.14784196,-0.23104046,1666189735042
92756531303413,0.009853689,0.021305272,-0.01304948,9.93474,0.1316811,0.08738836,1666189735061
92756551205497,-0.02210422,0.017710008,-0.017843166,9.9712515,0.30705637,0.5189432,1666189735081
92756571108101,-0.02796317,0.006924214,-0.019707378,9.944317,0.43634325,0.6847417,1666189735101
92756591003934,-0.008921583,-0.005725792,-0.019174745,9.91439,0.7445967,0.79008657,1666189735121
92756610903622,0.012916322,-0.014913691,-0.01624527,9.91439,0.7445967,0.6404489,1666189735141
92756630816070,0.02157159,-0.017576851,-0.011984216,9.877877,0.57161564,0.12808979,1666189735162
92756650718153,0.011584742,-0.012516848,-0.009454215,9.866506,0.52073884,-0.18375498,1666189735181
92756670620236,-0.0087884255,-0.002929475,-0.003462107,9.829395,0.7218518,-0.22864626,1666189735201
92756690522320,-0.014114743,0.009187899,0.0039947387,9.818023,0.96905315,-0.025139118,1666189735221
92756710424507,-0.009587373,0.017310534,0.01624527,9.824607,1.0636241,0.17238252,1666189735241
92756730327111,-0.021837905,0.015180007,0.029827382,9.8677025,1.0061632,0.4261679,1666189735262
92756750229715,-0.02862896,0.0051931604,0.04101265,9.9233675,0.8194155,0.81761986,1666189735281
92756770132320,-0.0045273704,-0.006391582,0.045273706,9.950901,0.5386954,0.8655039,1666189735301
92756790034924,0.020373167,-0.014114743,0.043942124,9.987412,0.2148796,0.46148238,1666189735320
92756809937528,0.011851058,-0.018775271,0.036085807,9.9712515,0.040102877,0.08319851,1666189735340
92756829839715,-0.005060002,-0.016511586,0.026232118,9.928156,-0.032920275,-0.049679685,1666189735362
92756849741799,-0.006258424,-0.008388951,0.016112113,9.910798,-0.048482586,-0.10055647,1666189735380
92756869643882,-0.008255793,7.9894776E-4,0.006391582,9.932944,0.0035913025,-0.15801731,1666189735400
92756889545965,-0.018775271,0.008921583,-0.002929475,9.947908,0.05626374,0.11611878,1666189735420
92756909448257,-0.0067910557,0.0126500055,-0.011451584,9.904813,0.20949265,0.4177882,1666189735440
92756929350861,0.013582111,0.0105194785,-0.016777903,10.002377,0.2753332,0.4854244,1666189735462
92756949253465,0.017710008,0.0043942127,-0.023835273,9.93474,0.29747957,0.49919105,1666189735480
92756969156070,0.017976323,-0.0030626329,-0.027297381,9.966463,0.2100912,0.50757074,1666189735499
92756989058674,0.022636853,-0.008255793,-0.0326237,9.912594,0.27832595,0.320823,1666189735519
92757008961278,0.019840535,-0.008255793,-0.033422645,9.896433,0.47644615,0.038307227,1666189735539
92757028863413,0.003328949,-0.002663159,-0.030093698,9.835979,0.75357497,-0.14185645,1666189735562
92757048765497,-0.013715269,0.0042610546,-0.021305272,9.861118,0.8882488,0.009576807,1666189735579
92757068667580,-0.017710008,0.008255793,-0.013182637,9.86471,0.82240826,0.26156655,1666189735599
92757088570080,-0.01238369,0.006657898,-0.006657898,9.91439,0.6171055,0.5590461,1666189735620
92757108472945,-0.0018642114,2.663159E-4,-0.0045273704,9.912594,0.46028528,0.6290765,1666189735639
92757128375028,0.008122635,-0.0071905297,-0.003328949,9.898229,0.51954174,0.47405192,1666189735661
92757148277111,0.017177377,-0.010386321,-0.0013315795,9.876082,0.7044938,0.207697,1666189735678
92757168179195,0.029827382,-0.005725792,0.0014647375,9.863512,0.74639237,-0.019153614,1666189735698
92757188081486,0.036751594,0.0046605286,0.0074568456,9.834184,0.6356605,-0.1933318,1666189735718
92757207984090,0.0067910557,0.01304948,0.013315796,9.920973,0.45549688,-0.16759412,1666189735738
92757227886695,-0.043942124,0.01304948,0.013315796,9.931747,0.3298013,0.33638534,1666189735759
92757247773518,-0.053662658,0.0037284228,0.011984216,9.97185,0.2908955,0.89423436,1666189735778
92757267692163,-0.017044218,-0.0071905297,0.006924214,9.96347,0.3405752,0.86490536,1666189735798
92757287594247,0.015579481,-0.016511586,0.0030626329,9.928755,0.48123455,0.40701428,1666189735818
92757307496330,0.029427908,-0.014647375,0.002929475,9.883863,0.56203884,0.1340753,1666189735837
92757327398413,0.017044218,-0.005725792,0.0041278964,9.861717,0.4890157,-0.39085343,1666189735858
92757347287215,-0.011584742,0.00585895,0.005592634,9.909601,0.31543607,-0.16879122,1666189735877
92757367201747,-0.018375797,0.012783164,7.9894776E-4,9.944916,0.14544775,0.33638534,1666189735897
92757387106174,7.9894776E-4,0.012783164,-0.00652474,9.97604,0.11911154,0.55844754,1666189735917
92757407008257,0.0061252657,0.0045273704,-0.014381059,9.97185,0.18854338,0.5638345,1666189735939
92757426910340,-0.0037284228,-0.0043942127,-0.01624527,9.901819,0.55006784,0.4213795,1666189735958
92757446812424,-0.014247901,-0.009454215,-0.011584742,9.871294,0.8086416,0.17896658,1666189735977
92757466714820,-0.037550543,-0.011185268,-0.0018642114,9.8437605,0.9564836,0.074818805,1666189735997
92757486617424,-0.042610545,-0.00972053,0.010120004,9.824607,0.97743285,0.2825158,1666189736017
92757506520028,-0.005326318,-0.002796317,0.021438431,9.847352,0.8900445,0.24301147,1666189736039
92757526422632,0.01957422,0.0023968432,0.027430538,9.904214,0.58657944,0.16879122,1666189736058
92757546325236,0.031292118,0.006258424,0.026631592,9.920973,0.219668,0.24779987,1666189736077
92757566227840,0.038482647,0.0070573715,0.01944106,9.97604,0.008978256,0.23822308,1666189736097
92757586130028,0.038615808,0.0077231615,0.008122635,9.970055,-0.046088383,0.13587095,1666189736117
92757606032111,0.014514217,0.006391582,-0.0017310535,9.957485,-0.023343466,0.10534488,1666189736137
92757625934195,-0.015446323,0.0039947387,-0.009853689,9.962274,0.14724341,0.30645782,1666189736157
92757645836278,-0.02543317,-3.9947388E-4,-0.014913691,9.939528,0.37229836,0.36870706,1666189736177
92757665738674,-0.038615808,-0.006657898,-0.015180007,9.898229,0.61052144,0.3609259,1666189736196
92757685641278,-0.036085807,-0.0109189525,-0.009853689,9.877279,0.8607155,0.54887074,1666189736216
92757705543882,0.018508956,-0.009321057,-0.0039947387,9.837775,0.9139865,0.37229836,1666189736236
92757725446486,0.048469495,-0.002530001,0.006258424,9.835979,0.8355764,-0.30286652,1666189736256
92757745349090,-0.0035952649,0.0051931604,0.017177377,9.813234,0.74639237,-0.29568392,1666189736276
92757765251695,-0.03968107,0.01105211,0.027696855,9.917382,0.5835867,0.29508537,1666189736295
92757785153986,-0.0126500055,0.011318427,0.027430538,9.940127,0.41120413,0.724246,1666189736315
92757805056070,0.027830012,0.00652474,0.02410159,9.958682,0.32321724,0.50278234,1666189736336
92757824958153,0.016378429,-0.0013315795,0.021038957,9.959281,0.2861071,0.2693477,1666189736355
92757844848465,-0.0014647375,-0.006924214,0.014913691,9.970055,0.16819267,0.48482585,1666189736375
92757864758778,0.034221593,-0.005725792,0.005060002,9.918579,-0.08559271,0.36511576,1666189736395
92757884665965,0.04114581,-0.0042610546,-0.0070573715,9.992201,-0.3184288,-0.12629414,1666189736415
92757904568049,0.013448954,-0.0015978955,-0.02157159,9.932944,-0.079008654,0.1448492,1666189736435
92757924470132,0.06937529,0.0109189525,-0.034621067,9.9233675,0.14305355,0.24301147,1666189736455
92757944372215,0.10506163,0.02157159,-0.042876862,9.928755,0.25438392,-0.35254622,1666189736475
92757964274611,0.01824264,0.020639483,-0.04447476,9.915586,0.3453636,-0.30645782,1666189736495
92757984177215,-0.061385818,0.01571264,-0.039547913,9.897031,0.6326678,0.59376204,1666189736515
92758004079820,-0.019840535,0.009986847,-0.03648528,9.939528,0.7667431,1.1605892,1666189736534
92758023982424,0.06564687,0.0023968432,-0.038083173,9.959281,0.4830302,0.8343793,1666189736554
92758043885028,0.092278466,-0.0046605286,-0.039281595,9.848549,0.31663316,0.08140286,1666189736574
92758063787632,0.034354754,-0.005592634,-0.03581949,9.879075,0.29269117,-0.25977087,1666189736594
92758083690080,-0.023302643,-6.6578976E-4,-0.035553172,9.862914,0.6584055,-0.04309563,1666189736614
92758103592163,-0.01105211,0.006924214,-0.030493172,9.870695,0.75118077,0.19991584,1666189736634
92758123494247,0.024634222,0.013315796,-0.024234748,9.840768,0.8038532,0.2741361,1666189736654
92758143396330,0.012783164,0.013715269,-0.02157159,9.906608,0.62129533,0.077811554,1666189736674
92758163298622,-0.02476738,0.009853689,-0.018642114,9.873089,0.6841431,0.45669398,1666189736693
92758183201226,-0.012250531,0.0047936863,-0.011318427,9.863512,0.8882488,0.82240826,1666189736715
